block_type,block_num,trial,trial_type,corr_resp,corr_resp_left,image_name,trial_dur,new_block
practice,1,1,0,nan,nan,stimuli/0back_instr.jpg,3,1
practice,1,2,fix,nan,nan,stimuli/fix.jpg,0.5,0
practice,1,3,0,1,4,stimuli/8.jpg,0.5,0
practice,1,4,fix,1,4,stimuli/fix.jpg,2.5,0
practice,1,5,0,0,0,stimuli/5.jpg,0.5,0
practice,1,6,fix,0,0,stimuli/fix.jpg,2.5,0
practice,1,7,0,0,0,stimuli/6.jpg,0.5,0
practice,1,8,fix,0,0,stimuli/fix.jpg,2.5,0
practice,1,9,0,1,4,stimuli/8.jpg,0.5,0
practice,1,10,fix,1,4,stimuli/fix.jpg,5,
practice,2,11,1,nan,nan,stimuli/1back_instr.jpg,3,1
practice,2,12,fix,nan,nan,stimuli/fix.jpg,0.5,0
practice,2,13,1,0,0,stimuli/3.jpg,0.5,0
practice,2,14,fix,0,0,stimuli/fix.jpg,2.5,0
practice,2,15,1,1,4,stimuli/3.jpg,0.5,0
practice,2,16,fix,1,4,stimuli/fix.jpg,2.5,0
practice,2,17,1,0,0,stimuli/2.jpg,0.5,0
practice,2,18,fix,0,0,stimuli/fix.jpg,2.5,0
practice,2,19,1,0,0,stimuli/8.jpg,0.5,0
practice,2,20,fix,0,0,stimuli/fix.jpg,2.5,0
practice,2,21,1,1,4,stimuli/8.jpg,0.5,0
practice,2,22,fix,1,4,stimuli/fix.jpg,5,1
practice,3,23,2,nan,nan,stimuli/2back_instr.jpg,3,1
practice,3,24,fix,nan,nan,stimuli/fix.jpg,0.5,0
practice,3,25,2,0,0,stimuli/1_lower.jpg,0.5,0
practice,3,26,fix,0,0,stimuli/fix.jpg,2.5,0
practice,3,27,2,0,0,stimuli/8_lower.jpg,0.5,0
practice,3,28,fix,0,0,stimuli/fix.jpg,2.5,0
practice,3,29,2,1,4,stimuli/1_lower.jpg,0.5,0
practice,3,30,fix,1,4,stimuli/fix.jpg,2.5,0
practice,3,31,2,0,0,stimuli/4_lower.jpg,0.5,0
practice,3,32,fix,0,0,stimuli/fix.jpg,2.5,0
practice,3,33,2,0,0,stimuli/7_lower.jpg,0.5,0
practice,3,34,fix,0,0,stimuli/fix.jpg,2.5,0
practice,3,35,2,1,4,stimuli/4_lower.jpg,0.5,0
practice,3,36,fix,1,4,stimuli/fix.jpg,2.5,0